record,IITKGP
3/1/2011,0.24
4/1/2011,2.55
5/1/2011,-0.01
6/1/2011,-0.98
7/1/2011,-1.48
8/1/2011,-1.85
9/1/2011,0.67
10/1/2011,0.94
11/1/2011,1.3
12/1/2011,2.25
1/1/2012,0.86
2/1/2012,0.03
3/1/2012,0.93
4/1/2012,0.37
5/1/2012,-0.79
6/1/2012,-2.25
7/1/2012,-1.29
8/1/2012,-1.39
9/1/2012,-0.43
10/1/2012,-1.73
11/1/2012,-0.74
12/1/2012,0.07
1/1/2013,-0.11
2/1/2013,-0.96
3/1/2013,-2.09
4/1/2013,0.6
5/1/2013,0.58
6/1/2013,0.83
7/1/2013,0.7
8/1/2013,1.12
9/1/2013,0.38
10/1/2013,-0.88
11/1/2013,0.81
12/1/2013,0.79
1/1/2014,-0.17
2/1/2014,1.07
3/1/2014,0.44
4/1/2014,0.19
5/1/2014,-0.8
6/1/2014,-0.67
7/1/2014,0.21
8/1/2014,-2.28
9/1/2014,1.72
10/1/2014,-0.87
11/1/2014,0.58
12/1/2014,1.63
1/1/2015,1.57
2/1/2015,1.05
3/1/2015,1.12
4/1/2015,0.64
5/1/2015,0.19
6/1/2015,0.24
7/1/2015,-3.14
8/1/2015,-1.1
9/1/2015,-0.49
10/1/2015,0.99
11/1/2015,1.7
12/1/2015,1.99
1/1/2016,-0.37
2/1/2016,1.35
3/1/2016,0.37
4/1/2016,0.26
5/1/2016,-0.67
6/1/2016,-0.13
7/1/2016,-1.72
8/1/2016,-2.24
9/1/2016,0.74
10/1/2016,0.96
11/1/2016,-0.31
12/1/2016,0.35
1/1/2017,0.05
2/1/2017,0.69
3/1/2017,0.37
4/1/2017,1.74
5/1/2017,-1.72
6/1/2017,0.35
7/1/2017,1.28
8/1/2017,-1.53
9/1/2017,-0.45
10/1/2017,0.71
11/1/2017,-0.14
12/1/2017,0.73
1/1/2018,1.17
2/1/2018,1.34
3/1/2018,-1.38
4/1/2018,1.2
5/1/2018,2.02
6/1/2018,1.41
7/1/2018,1.42
8/1/2018,2.4
9/1/2018,1.78
10/1/2018,1.53
11/1/2018,-0.25
12/1/2018,0.48
1/1/2019,0.18
2/1/2019,-0.11
3/1/2019,0.89
4/1/2019,0.36
5/1/2019,-2.38
6/1/2019,-0.79
7/1/2019,-1.39
8/1/2019,-1.62
9/1/2019,-0.01
10/1/2019,-1.03
11/1/2019,0.16
12/1/2019,1.02
1/1/2020,1.05
2/1/2020,0.98
3/1/2020,0.66
4/1/2020,-1.26
5/1/2020,-0.33
6/1/2020,0.16
7/1/2020,-1.19
8/1/2020,0.03
9/1/2020,1.11
10/1/2020,-0.2
11/1/2020,2.54
12/1/2020,-0.37
1/1/2021,-1.8
2/1/2021,-0.29
3/1/2021,0.36
4/1/2021,-1.69
5/1/2021,-1.1
6/1/2021,1.08
7/1/2021,0.06
8/1/2021,-0.49
9/1/2021,-0.06
10/1/2021,-1.98
11/1/2021,-0.33
12/1/2021,0.18
1/1/2022,0.74
2/1/2022,1.46
3/1/2022,0.4
4/1/2022,-0.54
5/1/2022,0.71
6/1/2022,0.19
7/1/2022,-0.06
8/1/2022,1.76
9/1/2022,-1.42
10/1/2022,-0.27
11/1/2022,0.59
12/1/2022,-0.22
