record,IITKGP
2/1/2011,-1.19
3/1/2011,-0.93
4/1/2011,-0.73
5/1/2011,-0.55
6/1/2011,-0.44
7/1/2011,-0.48
8/1/2011,-0.62
9/1/2011,-0.83
10/1/2011,-1.01
11/1/2011,-1.09
12/1/2011,-1.04
1/1/2012,-0.86
2/1/2012,-0.72
3/1/2012,-0.59
4/1/2012,-0.47
5/1/2012,-0.26
6/1/2012,-0.01
7/1/2012,0.25
8/1/2012,0.37
9/1/2012,0.37
10/1/2012,0.27
11/1/2012,0.05
12/1/2012,-0.21
1/1/2013,-0.43
2/1/2013,-0.43
3/1/2013,-0.34
4/1/2013,-0.3
5/1/2013,-0.36
6/1/2013,-0.41
7/1/2013,-0.4
8/1/2013,-0.32
9/1/2013,-0.26
10/1/2013,-0.18
11/1/2013,-0.17
12/1/2013,-0.27
1/1/2014,-0.42
2/1/2014,-0.46
3/1/2014,-0.27
4/1/2014,0.04
5/1/2014,0.21
6/1/2014,0.16
7/1/2014,0.05
8/1/2014,0.07
9/1/2014,0.23
10/1/2014,0.49
11/1/2014,0.64
12/1/2014,0.66
1/1/2015,0.55
2/1/2015,0.47
3/1/2015,0.53
4/1/2015,0.7
5/1/2015,0.93
6/1/2015,1.18
7/1/2015,1.52
8/1/2015,1.86
9/1/2015,2.16
10/1/2015,2.42
11/1/2015,2.57
12/1/2015,2.64
1/1/2016,2.48
2/1/2016,2.14
3/1/2016,1.58
4/1/2016,0.94
5/1/2016,0.39
6/1/2016,-0.07
7/1/2016,-0.36
8/1/2016,-0.54
9/1/2016,-0.63
10/1/2016,-0.69
11/1/2016,-0.67
12/1/2016,-0.56
1/1/2017,-0.34
2/1/2017,-0.16
3/1/2017,0.05
4/1/2017,0.2
5/1/2017,0.3
6/1/2017,0.31
7/1/2017,0.14
8/1/2017,-0.11
9/1/2017,-0.38
10/1/2017,-0.65
11/1/2017,-0.84
12/1/2017,-0.97
1/1/2018,-0.92
2/1/2018,-0.85
3/1/2018,-0.7
4/1/2018,-0.5
5/1/2018,-0.22
6/1/2018,-0.01
7/1/2018,0.09
8/1/2018,0.23
9/1/2018,0.49
10/1/2018,0.76
11/1/2018,0.9
12/1/2018,0.81
1/1/2019,0.75
2/1/2019,0.72
3/1/2019,0.71
4/1/2019,0.66
5/1/2019,0.54
6/1/2019,0.45
7/1/2019,0.28
8/1/2019,0.14
9/1/2019,0.19
10/1/2019,0.35
11/1/2019,0.51
12/1/2019,0.55
1/1/2020,0.5
2/1/2020,0.48
3/1/2020,0.4
4/1/2020,0.19
5/1/2020,-0.08
6/1/2020,-0.3
7/1/2020,-0.41
8/1/2020,-0.57
9/1/2020,-0.89
10/1/2020,-1.17
11/1/2020,-1.27
12/1/2020,-1.19
1/1/2021,-1.05
2/1/2021,-0.93
3/1/2021,-0.84
4/1/2021,-0.66
5/1/2021,-0.48
6/1/2021,-0.38
7/1/2021,-0.4
8/1/2021,-0.49
9/1/2021,-0.67
10/1/2021,-0.81
11/1/2021,-0.98
12/1/2021,-0.98
1/1/2022,-0.97
2/1/2022,-0.93
3/1/2022,-0.99
4/1/2022,-1.06
5/1/2022,-0.99
6/1/2022,-0.85
7/1/2022,-0.81
8/1/2022,-0.91
9/1/2022,-1.01
10/1/2022,-0.99
11/1/2022,-0.92
12/1/2022,-0.82
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
