record,IITKGP
10/1/2011,1.2
11/1/2011,1.8
12/1/2011,4.1
1/1/2012,1.8
2/1/2012,0.8
3/1/2012,1.2
4/1/2012,-0.4
5/1/2012,0.1
6/1/2012,-0.7
7/1/2012,-0.1
8/1/2012,-0.3
9/1/2012,0.4
10/1/2012,0.5
11/1/2012,0.4
12/1/2012,-1
1/1/2013,-0.1
2/1/2013,-0.4
3/1/2013,2.5
4/1/2013,0.4
5/1/2013,1.3
6/1/2013,2
7/1/2013,1.3
8/1/2013,0.3
9/1/2013,0.5
10/1/2013,-0.1
11/1/2013,1.2
12/1/2013,0.1
1/1/2014,2.4
2/1/2014,0.1
3/1/2014,-1.5
4/1/2014,1.3
5/1/2014,0.9
6/1/2014,0.3
7/1/2014,-0.3
8/1/2014,-1.2
9/1/2014,-1.2
10/1/2014,-1
11/1/2014,-1.5
12/1/2014,-0.9
1/1/2015,-1.4
2/1/2015,0.4
3/1/2015,-1.2
4/1/2015,-0.1
5/1/2015,-1.2
6/1/2015,-0.9
7/1/2015,-1.9
8/1/2015,-2.4
9/1/2015,-2.7
10/1/2015,-2.8
11/1/2015,-0.8
12/1/2015,-0.9
1/1/2016,-3.6
2/1/2016,-3.2
3/1/2016,-0.1
4/1/2016,-2
5/1/2016,0.7
6/1/2016,1.1
7/1/2016,0.7
8/1/2016,1.2
9/1/2016,2
10/1/2016,-0.4
11/1/2016,-0.2
12/1/2016,0.5
1/1/2017,0.3
2/1/2017,-0.1
3/1/2017,1.5
4/1/2017,-0.3
5/1/2017,0.4
6/1/2017,-0.7
7/1/2017,1.3
8/1/2017,0.9
9/1/2017,1
10/1/2017,1.5
11/1/2017,1.5
12/1/2017,-0.2
1/1/2018,1.8
2/1/2018,-0.8
3/1/2018,2.4
4/1/2018,0.8
5/1/2018,0.6
6/1/2018,-0.2
7/1/2018,0.4
8/1/2018,-0.5
9/1/2018,-1.5
10/1/2018,0.6
11/1/2018,-0.1
12/1/2018,1.7
1/1/2019,-0.1
2/1/2019,-2.3
3/1/2019,-0.5
4/1/2019,0.2
5/1/2019,-0.7
6/1/2019,-0.7
7/1/2019,-0.6
8/1/2019,-0.2
9/1/2019,-1.9
10/1/2019,-0.6
11/1/2019,-1.4
