record,IITKGP
5/1/2011,0
6/1/2011,2.13
7/1/2011,2.64
8/1/2011,3.53
9/1/2011,1.42
10/1/2011,1.65
11/1/2011,1.67
12/1/2011,-0.26
1/1/2012,-0.16
2/1/2012,-0.14
3/1/2012,-0.5
4/1/2012,0.44
5/1/2012,0.3
6/1/2012,1.77
7/1/2012,2.88
8/1/2012,4.44
9/1/2012,4.72
10/1/2012,4.51
11/1/2012,3.89
12/1/2012,0.17
1/1/2013,-0.14
2/1/2013,-0.1
3/1/2013,-0.6
4/1/2013,0.36
5/1/2013,-0.38
6/1/2013,0.6
7/1/2013,0.34
8/1/2013,3.73
9/1/2013,3.87
10/1/2013,4.32
11/1/2013,2.14
12/1/2013,0.09
1/1/2014,-0.04
2/1/2014,0.09
3/1/2014,0.53
4/1/2014,1.47
5/1/2014,1.59
6/1/2014,1.92
7/1/2014,3.78
8/1/2014,4.64
9/1/2014,4.95
10/1/2014,4.81
11/1/2014,2.88
12/1/2014,0.17
1/1/2015,0.31
2/1/2015,0.08
3/1/2015,-0.16
4/1/2015,2.3
5/1/2015,2.63
6/1/2015,4.96
7/1/2015,5.65
8/1/2015,6.86
9/1/2015,8.8
10/1/2015,9.14
11/1/2015,7.35
12/1/2015,4.99
1/1/2016,3.96
2/1/2016,1.41
3/1/2016,4.04
4/1/2016,2.53
5/1/2016,3.08
6/1/2016,5.47
7/1/2016,6.38
8/1/2016,5.45
9/1/2016,4.28
10/1/2016,5.94
11/1/2016,3.65
12/1/2016,1.05
1/1/2017,-0.03
2/1/2017,0.43
3/1/2017,0.63
4/1/2017,1.77
5/1/2017,1.83
6/1/2017,1.76
7/1/2017,4.92
8/1/2017,4.87
9/1/2017,3.67
10/1/2017,3.13
11/1/2017,2.73
12/1/2017,0.17
1/1/2018,-0.07
2/1/2018,-0.06
3/1/2018,0.11
4/1/2018,0.92
5/1/2018,0.5
6/1/2018,0.92
7/1/2018,0.81
8/1/2018,2.65
9/1/2018,5.28
10/1/2018,3.62
11/1/2018,1.47
12/1/2018,0.39
1/1/2019,0.36
2/1/2019,0.59
3/1/2019,0.85
4/1/2019,2.41
5/1/2019,1.3
6/1/2019,4.24
7/1/2019,5.99
8/1/2019,5.89
9/1/2019,5.35
10/1/2019,5.1
11/1/2019,3.15
12/1/2019,1.05
1/1/2020,0.33
2/1/2020,0.56
3/1/2020,1.3
4/1/2020,2.63
5/1/2020,2.88
6/1/2020,4.38
7/1/2020,5.98
8/1/2020,5.79
9/1/2020,3.53
10/1/2020,4.49
11/1/2020,2.34
12/1/2020,0.15
1/1/2021,-0.17
2/1/2021,-0.3
3/1/2021,-0.54
4/1/2021,-0.39
5/1/2021,0.26
6/1/2021,0.55
7/1/2021,1.64
8/1/2021,3.83
9/1/2021,4.73
10/1/2021,4.35
11/1/2021,2.3
12/1/2021,0.33
1/1/2022,0.16
2/1/2022,0.03
3/1/2022,-0.13
4/1/2022,-0.04
5/1/2022,0.2
6/1/2022,1.32
7/1/2022,1.89
8/1/2022,4.12
9/1/2022,4.31
10/1/2022,4.74
11/1/2022,1.71
12/1/2022,-0.01
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
