record,IITKGP
2/1/2011,1.575
3/1/2011,1.424
4/1/2011,2.275
5/1/2011,-0.035
6/1/2011,-0.858
7/1/2011,-0.472
8/1/2011,-1.063
9/1/2011,0.665
10/1/2011,0.8
11/1/2011,1.459
12/1/2011,2.221
1/1/2012,-0.22
2/1/2012,-0.036
3/1/2012,1.037
4/1/2012,-0.035
5/1/2012,0.168
6/1/2012,-0.672
7/1/2012,0.168
8/1/2012,0.014
9/1/2012,0.772
10/1/2012,-1.514
11/1/2012,-0.111
12/1/2012,-1.749
1/1/2013,-0.61
2/1/2013,-1.007
3/1/2013,-3.185
4/1/2013,0.322
5/1/2013,0.494
6/1/2013,0.549
7/1/2013,-0.011
8/1/2013,0.154
9/1/2013,-0.461
10/1/2013,0.263
11/1/2013,2.029
12/1/2013,1.475
1/1/2014,-0.969
2/1/2014,0.044
3/1/2014,1.206
4/1/2014,0.972
5/1/2014,0.464
6/1/2014,-0.507
7/1/2014,-0.489
8/1/2014,-0.371
9/1/2014,0.102
10/1/2014,-1.134
11/1/2014,-0.53
12/1/2014,0.413
1/1/2015,1.092
2/1/2015,1.043
3/1/2015,1.837
4/1/2015,1.216
5/1/2015,0.763
6/1/2015,0.427
7/1/2015,-1.108
8/1/2015,-0.689
9/1/2015,-0.165
10/1/2015,-0.25
11/1/2015,1.945
12/1/2015,1.444
1/1/2016,-1.449
2/1/2016,-0.024
3/1/2016,0.28
4/1/2016,-1.051
5/1/2016,-0.036
6/1/2016,0.313
7/1/2016,0.085
8/1/2016,0.472
9/1/2016,0.781
10/1/2016,-1.917
11/1/2016,-0.611
12/1/2016,1.786
1/1/2017,0.942
2/1/2017,0.34
3/1/2017,1.365
4/1/2017,-0.089
5/1/2017,-0.73
6/1/2017,0.402
7/1/2017,0.634
8/1/2017,0.15
9/1/2017,-0.492
10/1/2017,0.69
11/1/2017,-0.078
12/1/2017,-0.059
1/1/2018,-0.281
2/1/2018,0.113
3/1/2018,-0.941
4/1/2018,0.544
5/1/2018,1.18
6/1/2018,0.38
7/1/2018,0.612
8/1/2018,0.836
9/1/2018,0.585
10/1/2018,0.413
11/1/2018,-1.116
12/1/2018,0.11
1/1/2019,-0.713
2/1/2019,1.149
3/1/2019,2.116
4/1/2019,-0.255
5/1/2019,-1.231
6/1/2019,-0.601
7/1/2019,-0.89
8/1/2019,-0.722
9/1/2019,0.306
10/1/2019,-0.082
11/1/2019,-1.193
12/1/2019,0.412
1/1/2020,2.419
2/1/2020,3.417
3/1/2020,2.641
4/1/2020,0.928
5/1/2020,-0.027
6/1/2020,-0.122
7/1/2020,-0.412
8/1/2020,-0.381
9/1/2020,0.631
10/1/2020,-0.072
11/1/2020,2.086
12/1/2020,-1.736
1/1/2021,-2.484
2/1/2021,-1.191
3/1/2021,2.109
4/1/2021,-0.204
5/1/2021,-0.161
6/1/2021,0.845
7/1/2021,0.63
8/1/2021,-0.209
9/1/2021,-0.252
10/1/2021,-0.146
11/1/2021,0.093
12/1/2021,0.198
1/1/2022,0.848
2/1/2022,1.544
3/1/2022,0.305
4/1/2022,-0.603
5/1/2022,1.224
6/1/2022,-0.074
7/1/2022,0.025
8/1/2022,-0.17
9/1/2022,-0.655
10/1/2022,1.346
11/1/2022,0.339
12/1/2022,-2.719
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
